experiment,model_file,strategy_return,hs300_return,excess_return,max_drawdown,drawdown_days,recovery_days,recovered,exp_key,exp_dir_norm,score
model/search_itransformer_74_3\exp_46,best_model.pth,4.866419190000015,6.39611821790913,-1.529699027909115,7.59017941274286,3,,False,search_itransformer_74_3/exp_46,model/search_itransformer_74_3/exp_46,-0.7893958561955863
model/search_itransformer_74_3\exp_35,best_model_sliding.pth,4.862932030000033,6.39611821790913,-1.5331861879090969,6.269739606692401,4,5.0,True,search_itransformer_74_3/exp_35,model/search_itransformer_74_3/exp_35,-0.39570492638043575
model/search_itransformer_74_3\exp_67,best_model_sliding.pth,4.751895840000042,6.39611821790913,-1.644222377909088,9.030961093857474,11,,False,search_itransformer_74_3/exp_67,model/search_itransformer_74_3/exp_67,-1.3017967055299517
model/search_itransformer_74_3\exp_67,best_model.pth,4.751895840000042,6.39611821790913,-1.644222377909088,9.030961093857474,11,,False,search_itransformer_74_3/exp_67,model/search_itransformer_74_3/exp_67,-1.3017967055299517
model/search_itransformer_74_3\exp_45,best_model.pth,4.7102909800000425,6.39611821790913,-1.6858272379090877,9.030961093857474,11,,False,search_itransformer_74_3/exp_45,model/search_itransformer_74_3/exp_45,-1.3309201075299515
model/search_itransformer_74_3\exp_41,best_model_sliding.pth,4.521986640000009,6.39611821790913,-1.8741315779091217,4.770964001409971,3,13.0,True,search_itransformer_74_3/exp_41,model/search_itransformer_74_3/exp_41,-0.1847340177957244
model/search_itransformer_74_3\exp_63,best_model.pth,4.194908890000026,6.39611821790913,-2.201209327909104,9.462348692575329,11,,False,search_itransformer_74_3/exp_63,model/search_itransformer_74_3/exp_63,-1.8211038501453194
model/search_itransformer_74_3\exp_70,best_model.pth,4.0618581399999965,6.39611821790913,-2.334260077909134,7.719924565817735,10,,False,search_itransformer_74_3/exp_70,model/search_itransformer_74_3/exp_70,-1.3915121371180619
model/search_itransformer_74_3\exp_15,best_model_sliding.pth,4.049101150000056,6.39611821790913,-2.347017067909074,9.030961093857474,11,,False,search_itransformer_74_3/exp_15,model/search_itransformer_74_3/exp_15,-1.793752988529942
model/search_itransformer_74_3\exp_12,best_model.pth,4.049101150000056,6.39611821790913,-2.347017067909074,9.030961093857474,11,,False,search_itransformer_74_3/exp_12,model/search_itransformer_74_3/exp_12,-1.793752988529942
model/search_itransformer_74_3\exp_44,best_model_sliding.pth,4.037412490000025,6.39611821790913,-2.358705727909105,9.593564104606564,11,,False,search_itransformer_74_3/exp_44,model/search_itransformer_74_3/exp_44,-1.9707159537546906
model/search_itransformer_74_3\exp_61,best_model.pth,4.009702520000058,6.39611821790913,-2.3864156979090723,10.142561523204236,11,,False,search_itransformer_74_3/exp_61,model/search_itransformer_74_3/exp_61,-2.154812158333969
model/search_itransformer_74_3\exp_47,best_model.pth,3.751090970000015,6.39611821790913,-2.6450272479091153,9.80540972186479,11,,False,search_itransformer_74_3/exp_47,model/search_itransformer_74_3/exp_47,-2.234694702932165
model/search_itransformer_74_3\exp_15,best_model.pth,3.723495110000008,6.39611821790913,-2.6726231079091223,8.970749552575974,11,,False,search_itransformer_74_3/exp_15,model/search_itransformer_74_3/exp_15,-2.0036137541455257
model/search_itransformer_74_3\exp_3,best_model.pth,3.7019737100000283,6.39611821790913,-2.694144507909102,10.212343802589674,11,,False,search_itransformer_74_3/exp_3,model/search_itransformer_74_3/exp_3,-2.3911570091496213
model/search_itransformer_74_3\exp_3,best_model.pth,3.7019737100000283,6.39611821790913,-2.694144507909102,10.212343802589674,11,,False,search_itransformer_74_3/exp_3,model/search_itransformer_74_3/exp_3,-2.3911570091496213
model/search_itransformer_74_3\exp_48,best_model.pth,3.6282340800000368,6.39611821790913,-2.7678841379090935,1.9951462254980572,2,5.0,True,search_itransformer_74_3/exp_48,model/search_itransformer_74_3/exp_48,0.022384522977869525
model/search_itransformer_74_3\exp_65,best_model.pth,3.3881930500000212,6.39611821790913,-3.007925167909109,9.030961093857474,11,,False,search_itransformer_74_3/exp_65,model/search_itransformer_74_3/exp_65,-2.2563886585299664
model/search_itransformer_74_3\exp_36,best_model_sliding.pth,3.3881930500000212,6.39611821790913,-3.007925167909109,9.030961093857474,11,,False,search_itransformer_74_3/exp_36,model/search_itransformer_74_3/exp_36,-2.2563886585299664
model/search_itransformer_74_3\exp_26,best_model.pth,3.332684100000005,6.39611821790913,-3.063434117909125,8.08529570685304,11,,False,search_itransformer_74_3/exp_26,model/search_itransformer_74_3/exp_26,-2.0115453074286473
model/search_itransformer_74_3\exp_69,best_model_sliding.pth,3.1954586200000135,6.39611821790913,-3.200659597909117,8.763714212380535,11,,False,search_itransformer_74_3/exp_69,model/search_itransformer_74_3/exp_69,-2.31112869508689
